Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Cluster
109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,71,37.3,9.6,24.0,43.5,22.7,23.9,Kampot,59,Moderate,1,Good,27,Good,0,Good,59,Moderate,"(4, 9)"
116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,58,41.0,19.0,30.5,36.0,38.9,38.5,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good,"(3, 9)"
119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,81,33.4,13.7,23.9,33.3,31.6,35.3,Zugdidi,50,Good,1,Good,34,Good,0,Good,50,Good,"(3, 7)"
121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,92,30.2,8.5,19.8,31.0,22.1,34.2,Eldama Ravine,78,Moderate,3,Good,25,Good,1,Good,78,Moderate,"(4, 7)"
124,Tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,104,28.1,4.7,16.9,31.4,15.0,32.2,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate,"(4, 7)"
125,Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,117,22.5,2.4,12.8,25.7,12.8,33.1,Bhairab Bazar,132,Unhealthy for Sensitive Groups,3,Good,44,Good,4,Good,132,Unhealthy for Sensitive Groups,"(0, 1)"
126,Iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,99,29.3,7.6,18.9,28.2,20.9,50.4,Rawah,150,Unhealthy,1,Good,38,Good,1,Good,150,Unhealthy,"(0, 2)"
130,Sri Lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,77,34.6,5.6,20.7,49.3,18.5,17.5,Homagama,58,Moderate,1,Good,27,Good,1,Good,58,Moderate,"(4, 8)"
133,Ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,111,25.9,7.6,17.1,25.4,20.7,39.5,Avdiyivka,41,Good,1,Good,41,Good,3,Good,27,Good,"(3, 7)"
136,Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,100,29.1,7.7,18.8,29.3,21.6,17.8,Masindi,62,Moderate,2,Good,17,Good,0,Good,62,Moderate,"(4, 8)"
137,Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,119,21.0,3.7,12.7,21.2,16.2,20.0,Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups,"(0, 2)"
140,India,4.015,0.755,0.765,0.588,0.498,0.2,0.085,118,21.2,5.6,13.7,23.8,15.1,82.6,Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy,"(0, 2)"
143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,114,24.5,7.8,16.5,24.1,14.3,15.6,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good,"(3, 8)"
146,Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,73,37.2,10.0,24.1,35.5,26.7,26.1,Hwange,44,Good,0,Good,17,Good,0,Good,44,Good,"(3, 8)"
148,Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,93,30.1,6.1,18.5,30.0,22.5,64.4,Gabane,31,Good,1,Good,18,Good,0,Good,31,Good,"(3, 8)"
